value,aliases,description
voiceover,"vo,narration,speaking,narrator,talking",Voice-over narration
upbeat,"energetic,hype,fast,pump up,exciting music",Upbeat / energetic music
chill,"relaxed,lo-fi,calm music,soft music",Chill / relaxed background music
arabic,"arab music,oriental,oud,khaleeji",Arabic / oriental music
hip hop,"hiphop,rap,trap,urban music",Hip-hop / trap music
pop,"pop music,catchy,mainstream",Pop music
piano,"keyboard,classical,instrumental,acoustic",Piano / instrumental
dubstep,"edm,electronic,bass drop,house",Dubstep / EDM
rock,"rock music,guitar,heavy",Rock music
asmr,"whisper,soft sounds,tapping,satisfying",ASMR sounds
sfx only,"sound effects,no music,sfx,ambient sound",Sound effects without music
silent,"no sound,mute,quiet,no audio",Silent / no audio
none,"n/a,na,images only",No sound (images)
