value,aliases,description
none,"nothing,empty,n/a,na,no detail",No additional detail
concept 1,"c1,concept1",Concept variation 1
concept 2,"c2,concept2",Concept variation 2
concept 3,"c3,concept3",Concept variation 3
concept 4,"c4,concept4",Concept variation 4
concept 5,"c5,concept5",Concept variation 5
concept 6,"c6,concept6",Concept variation 6
concept 7,"c7,concept7",Concept variation 7
concept 8,"c8,concept8",Concept variation 8
concept 9,"c9,concept9",Concept variation 9
concept 10,"c10,concept10",Concept variation 10
concept 11,"c11,concept11",Concept variation 11
variation 1,"v1,var1",Variation 1
variation 2,"v2,var2",Variation 2
variation 3,"v3,var3",Variation 3
variation 4,"v4,var4",Variation 4
variation 5,"v5,var5",Variation 5
variation 6,"v6,var6",Variation 6
variation 7,"v7,var7",Variation 7
variation 8,"v8,var8",Variation 8
variation 9,"v9,var9",Variation 9
variation 10,"v10,var10",Variation 10
variation 11,"v11,var11",Variation 11
variation 12,"v12,var12",Variation 12
variation 13,"v13,var13",Variation 13
